"i" "SiZer-0" "SiZer-2"
"785" 785 0 0
"786" 786 0.07359307 0.02164502
"787" 787 0 0.004329004
"788" 788 0 0
"789" 789 0.1688312 0.1082251
"790" 790 0 0
"791" 791 0 0
"792" 792 0 0
"793" 793 0 0.01298701
"794" 794 0 0
"795" 795 0 0
"796" 796 0 0.008658009
"797" 797 0 0
"798" 798 0 0
"799" 799 0 0.2251082
"800" 800 0 0.07359307
"801" 801 0 0
"802" 802 0.004329004 0.09090909
"803" 803 0 0
"804" 804 0 0
"805" 805 0 0.03896104
"806" 806 0.01298701 0
"807" 807 0 0.004329004
"808" 808 0 0
"809" 809 0 0.01298701
"810" 810 0 0
"811" 811 0 0
"812" 812 0 0
"813" 813 0 0
"814" 814 0 0
"815" 815 0 0
"816" 816 0 0
"817" 817 0 0
"818" 818 0 0
"819" 819 0 0.004329004
"820" 820 0 0
"821" 821 0 0
"822" 822 0.008658009 0.004329004
"823" 823 0 0
"824" 824 0 0
"825" 825 0.05194805 0.1038961
"826" 826 0 0
"827" 827 0 0
"828" 828 0 0.5367965
"829" 829 0 0
"830" 830 0 0.1558442
"831" 831 0 0
"832" 832 0 0
"833" 833 0.01731602 0
"834" 834 0 0
"835" 835 0 0
"836" 836 0 0
"837" 837 0 0
"838" 838 0 0
"839" 839 0 0
"840" 840 0 0.08658009
"841" 841 0 0.2943723
"842" 842 0 0
"843" 843 0 0.07792208
"844" 844 0 0
"845" 845 0 0
"846" 846 0 0
"847" 847 0 0
"848" 848 0 0
"849" 849 0 0
"850" 850 0 0
"851" 851 0 0.004329004
"852" 852 0.1341991 0.004329004
"853" 853 0 0.1298701
"854" 854 0 0.1385281
"855" 855 0 0
"856" 856 0 0
"857" 857 0 0
"858" 858 0 0.04761905
"859" 859 0 0
"860" 860 0 0
"861" 861 0 0
"862" 862 0 0
"863" 863 0 0
"864" 864 0 0
"865" 865 0 0
"866" 866 0.1082251 0.4588745
"867" 867 0 0
"868" 868 0 0
"869" 869 0 0
"870" 870 0 0
"871" 871 0.1168831 0.3766234
"872" 872 0.2337662 0.3982684
"873" 873 0 0
"874" 874 0 0
"875" 875 0 0
"876" 876 0 0
"877" 877 0 0
"878" 878 0 0
