"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz" "Bias_cond"
"275" "m2_0" 0.414 4.06206e-13 1.47593e-12 1.23177e-11 "vd05vg1"
"276" "m2_1" 0.422 6.97601e-13 1.37697e-12 7.10578e-12 "vd05vg1"
"277" "m2_2" 0.418 3.46494e-13 2.2683e-12 2.21515e-11 "vd05vg1"
"278" "m2_3" 0.37 5.83343e-13 1.47224e-12 1.23525e-11 "vd05vg1"
"279" "m2_4" 0.394 7.43647e-13 1.76182e-12 2.10459e-11 "vd05vg1"
"280" "m2_m1" 0.438 4.09082e-13 1.02657e-12 4.99185e-12 "vd05vg1"
"281" "m2_m2" 0.414 3.79499e-13 9.77262e-13 8.90459e-12 "vd05vg1"
"282" "m2_m3" 0.422 4.71382e-13 1.56873e-12 1.06426e-11 "vd05vg1"
"283" "m2_m4" 0.422 3.90541e-13 1.24114e-12 1.43158e-11 "vd05vg1"
"284" "m2_m5" 0 1.37287e-11 7.46098e-11 4.48255e-10 "vd05vg1"
"285" "m3_0" 0 0 0 0 "vd05vg1"
"286" "m3_1" 0 7.88155e-13 1.20083e-12 7.79e-12 "vd05vg1"
"287" "m3_2" 0.374 7.38417e-13 3.19754e-12 3.2485e-11 "vd05vg1"
"288" "m3_3" 0.41 8.44003e-13 1.40497e-12 1.56417e-11 "vd05vg1"
"289" "m3_m1" 0.43 6.94053e-13 1.63755e-12 8.05762e-12 "vd05vg1"
"290" "m3_m2" 0.426 4.17481e-13 1.15099e-12 1.71165e-11 "vd05vg1"
"291" "m3_m3" 0.422 4.70347e-13 8.59765e-13 6.57584e-12 "vd05vg1"
"292" "m3_m4" 0.418 3.88448e-13 1.13075e-12 7.82496e-12 "vd05vg1"
"293" "m4_0" 0.408 6.11946e-13 1.24585e-12 1.64417e-11 "vd05vg1"
"294" "m4_1" 0.41 5.15421e-13 7.45561e-13 7.09279e-12 "vd05vg1"
"295" "m4_2" 0.394 2.57362e-12 3.02646e-11 2.84329e-10 "vd05vg1"
"296" "m4_m1" 0 5.85759e-12 4.0173e-11 3.35258e-10 "vd05vg1"
"297" "m4_m2" 0.422 6.16251e-13 1.50085e-12 5.53247e-12 "vd05vg1"
"298" "m4_m3" 0.414 3.38019e-13 9.15887e-13 1.11607e-11 "vd05vg1"
"299" "m5_0" 0.422 5.57108e-13 8.87174e-13 6.82551e-12 "vd05vg1"
"300" "m5_1" 0.4 5.16864e-13 1.25113e-12 7.53232e-12 "vd05vg1"
"301" "m5_2" 0.496 6.97805e-13 3.31695e-12 4.96803e-11 "vd05vg1"
"302" "m5_m1" 0.438 5.70462e-13 1.4417e-12 1.09539e-11 "vd05vg1"
