"DIE" "lognoise" "Vth" "Freq" "biasCond"
"258" "m4_2" 4.1984306528906 0.394 100 "vd05vg1"
"259" "m4_m2" 0.258933004936395 0.422 100 "vd05vg1"
"260" "m4_m3" 0.960697313511851 0.414 100 "vd05vg1"
"261" "m5_0" 0.468965698065372 0.422 100 "vd05vg1"
"262" "m5_1" 0.567501729799488 0.4 100 "vd05vg1"
"263" "m5_2" 2.45390711076575 0.496 100 "vd05vg1"
"264" "m5_m1" 0.941994191746012 0.438 100 "vd05vg1"
"265" "m5_m2" 2.63878911261688 0.41 100 "vd05vg1"
"266" "m6_0" 0.707143833561787 0.438 100 "vd05vg1"
"267" "m6_m1" 0.704429189590449 0.41 100 "vd05vg1"
"268" "0_0" 1.03854931284183 0.422 100 "vd1vg1"
"269" "0_1" 1.23297784929039 0.414 100 "vd1vg1"
"270" "0_2" 0.994464455982989 0.39 100 "vd1vg1"
"271" "0_6" 1.6249240232707 0.398 100 "vd1vg1"
"272" "0_m1" 0.947402267857122 0.438 100 "vd1vg1"
"273" "0_m2" 1.11209347962613 0.394 100 "vd1vg1"
"274" "0_m3" 1.32018085723918 0.402 100 "vd1vg1"
"275" "0_m4" 2.91775155025676 0.402 100 "vd1vg1"
"276" "0_m5" 1.75600025990468 0.434 100 "vd1vg1"
"277" "0_m6" 1.71632738121227 0.44 100 "vd1vg1"
"278" "0_m7" 2.0040631124855 0.398 100 "vd1vg1"
"279" "1_0" 1.24407380473802 0.414 100 "vd1vg1"
"280" "1_1" 1.35132562651672 0.418 100 "vd1vg1"
"281" "1_2" 2.03466096734551 0.414 100 "vd1vg1"
"282" "1_3" 2.16089621680153 0.372 100 "vd1vg1"
"283" "1_4" 2.60091280363307 0.394 100 "vd1vg1"
"284" "1_5" 2.01856177389315 0.394 100 "vd1vg1"
"285" "1_m1" 0.952392836007125 0.434 100 "vd1vg1"
"286" "1_m2" 1.41282823044956 0.382 100 "vd1vg1"
"287" "1_m3" 1.3050691560742 0.41 100 "vd1vg1"
"288" "1_m5" 1.47984965643282 0.446 100 "vd1vg1"
"289" "1_m6" 1.56206727055151 0.45 100 "vd1vg1"
"290" "2_0" 0.937116468103106 0.392 100 "vd1vg1"
"291" "2_1" 0.913210429373219 0.422 100 "vd1vg1"
"292" "2_2" 1.36449746087909 0.398 100 "vd1vg1"
"293" "2_3" 1.75028869390284 0.398 100 "vd1vg1"
"294" "2_m1" 0.92224579024111 0.414 100 "vd1vg1"
"295" "2_m2" 1.36155533941224 0.418 100 "vd1vg1"
"296" "2_m3" 1.23292325333457 0.398 100 "vd1vg1"
"297" "2_m4" 5.04908818001012 0.466 100 "vd1vg1"
"298" "2_m5" 1.02870349978934 0.446 100 "vd1vg1"
"299" "3_0" 1.16994818118591 0.398 100 "vd1vg1"
"300" "3_1" 1.10981904291773 0.43 100 "vd1vg1"
"301" "3_2" 1.30833389067958 0.418 100 "vd1vg1"
"302" "3_3" 1.26825105567059 0.394 100 "vd1vg1"
"303" "3_m1" 1.65270143957157 0.498 100 "vd1vg1"
"304" "3_m2" 1.47034130991954 0.418 100 "vd1vg1"
"305" "3_m3" 1.46611260890398 0.434 100 "vd1vg1"
"306" "3_m4" 1.61610037530768 0.442 100 "vd1vg1"
"307" "4_0" 1.04947225676329 0.422 100 "vd1vg1"
"308" "4_1" 0.841580587179319 0.352 100 "vd1vg1"
"309" "4_2" 1.10484354255221 0.426 100 "vd1vg1"
"310" "4_m1" 0.792149130965466 0.426 100 "vd1vg1"
"311" "4_m2" 1.40383737256733 0.418 100 "vd1vg1"
"312" "4_m3" 1.45035738820223 0.402 100 "vd1vg1"
"313" "5_0" 0.955396884256114 0.41 100 "vd1vg1"
"314" "5_1" 1.11722468980299 0.434 100 "vd1vg1"
"315" "5_2" 1.18187669459437 0.402 100 "vd1vg1"
"316" "5_m2" 1.55243053224374 0.388 100 "vd1vg1"
"317" "6_0" 1.23730871753339 0.414 100 "vd1vg1"
"318" "6_m1" 1.54299537208305 0.43 100 "vd1vg1"
"319" "m1_0" 0.741982506497525 0.434 100 "vd1vg1"
"320" "m1_1" 1.12761354234305 0.41 100 "vd1vg1"
"321" "m1_2" 1.27026488994009 0.392 100 "vd1vg1"
"322" "m1_3" 2.48098468128712 0.394 100 "vd1vg1"
"323" "m1_4" 1.09786098607107 0.43 100 "vd1vg1"
"324" "m1_5" 1.27314039825346 0.366 100 "vd1vg1"
"325" "m1_m1" 1.27035035524944 0.434 100 "vd1vg1"
"326" "m1_m2" 1.33507991424698 0.394 100 "vd1vg1"
"327" "m1_m3" 1.40669801316431 0.414 100 "vd1vg1"
"328" "m1_m5" 1.53196844823741 0.438 100 "vd1vg1"
"329" "m1_m6" 1.51319018451373 0.41 100 "vd1vg1"
"330" "m2_0" 1.13093677279275 0.414 100 "vd1vg1"
"331" "m2_1" 0.992365928517344 0.422 100 "vd1vg1"
"332" "m2_2" 1.81668055768323 0.418 100 "vd1vg1"
"333" "m2_3" 1.32808638147789 0.37 100 "vd1vg1"
"334" "m2_4" 2.06535126892404 0.394 100 "vd1vg1"
"335" "m2_m1" 0.896153416352949 0.438 100 "vd1vg1"
"336" "m2_m2" 1.3985136857935 0.414 100 "vd1vg1"
"337" "m2_m3" 1.59513743501301 0.422 100 "vd1vg1"
"338" "m2_m4" 1.27989607706969 0.422 100 "vd1vg1"
"339" "m3_2" 2.44474901356164 0.374 100 "vd1vg1"
"340" "m3_3" 1.47328113699096 0.41 100 "vd1vg1"
"341" "m3_m1" 0.887707339135947 0.43 100 "vd1vg1"
"342" "m3_m2" 1.36696551341716 0.426 100 "vd1vg1"
"343" "m3_m3" 1.25198599893389 0.422 100 "vd1vg1"
"344" "m3_m4" 1.42233209073317 0.418 100 "vd1vg1"
"345" "m4_0" 1.27936850489893 0.408 100 "vd1vg1"
"346" "m4_1" 1.04379072695773 0.41 100 "vd1vg1"
"347" "m4_2" 4.24214187825284 0.394 100 "vd1vg1"
"348" "m4_m2" 1.22678956670531 0.422 100 "vd1vg1"
"349" "m4_m3" 1.6759315968148 0.414 100 "vd1vg1"
"350" "m5_0" 1.03449611748234 0.422 100 "vd1vg1"
"351" "m5_1" 0.998415407144982 0.4 100 "vd1vg1"
"352" "m5_2" 2.79132609832597 0.496 100 "vd1vg1"
"353" "m5_m1" 1.60328517961595 0.438 100 "vd1vg1"
"354" "m5_m2" 1.13645357077097 0.41 100 "vd1vg1"
"355" "m6_0" 0.950620459292999 0.438 100 "vd1vg1"
"356" "m6_m1" 1.30029554312939 0.41 100 "vd1vg1"
"357" "0_0" -2.00843481136578 0.422 1000 "vd05vg05"
"358" "0_1" -0.901328158920091 0.414 1000 "vd05vg05"
"359" "0_2" -1.09386609498916 0.39 1000 "vd05vg05"
"360" "0_6" -1.22906994529113 0.398 1000 "vd05vg05"
"361" "0_m1" -1.19022980705689 0.438 1000 "vd05vg05"
"362" "0_m2" -1.1641042966495 0.394 1000 "vd05vg05"
"363" "0_m3" -1.46343999439397 0.402 1000 "vd05vg05"
"364" "0_m4" 0.37374429889427 0.402 1000 "vd05vg05"
"365" "0_m5" -1.04858568178448 0.434 1000 "vd05vg05"
"366" "0_m6" -0.511533963570756 0.44 1000 "vd05vg05"
"367" "0_m7" -0.89529070850211 0.398 1000 "vd05vg05"
"368" "1_0" -1.23265419288896 0.414 1000 "vd05vg05"
"369" "1_1" -1.06380977099758 0.418 1000 "vd05vg05"
"370" "1_2" -1.1291324768936 0.414 1000 "vd05vg05"
"371" "1_3" -0.839503970539671 0.372 1000 "vd05vg05"
"372" "1_4" 0.086599234931537 0.394 1000 "vd05vg05"
"373" "1_5" -0.522166722654745 0.394 1000 "vd05vg05"
"374" "1_m1" -1.29679382929223 0.434 1000 "vd05vg05"
"375" "1_m2" -1.64758243841629 0.382 1000 "vd05vg05"
"376" "1_m3" -1.22624050121921 0.41 1000 "vd05vg05"
"377" "1_m5" -1.31125270243831 0.446 1000 "vd05vg05"
"378" "1_m6" -1.10546976391322 0.45 1000 "vd05vg05"
"379" "2_0" -1.11301016402041 0.392 1000 "vd05vg05"
"380" "2_1" -1.86914138753584 0.422 1000 "vd05vg05"
"381" "2_2" -1.06688123935771 0.398 1000 "vd05vg05"
"382" "2_3" -0.871963673500137 0.398 1000 "vd05vg05"
"383" "2_m1" -1.61480870335873 0.414 1000 "vd05vg05"
"384" "2_m2" -1.48368131634642 0.418 1000 "vd05vg05"
"385" "2_m3" -1.31476079073497 0.398 1000 "vd05vg05"
"386" "2_m4" 3.0285097233934 0.466 1000 "vd05vg05"
"387" "2_m5" -1.44618659980056 0.446 1000 "vd05vg05"
"388" "3_0" -1.15454184625291 0.398 1000 "vd05vg05"
"389" "3_1" -1.3281836932263 0.43 1000 "vd05vg05"
"390" "3_2" -1.39378157490282 0.418 1000 "vd05vg05"
"391" "3_3" -1.93553133963412 0.394 1000 "vd05vg05"
"392" "3_m1" -0.632401825528241 0.498 1000 "vd05vg05"
"393" "3_m2" -1.42417375092635 0.418 1000 "vd05vg05"
"394" "3_m3" -0.979400377194164 0.434 1000 "vd05vg05"
"395" "3_m4" -2.39179310754869 0.442 1000 "vd05vg05"
"396" "4_0" -1.29442414980089 0.422 1000 "vd05vg05"
"397" "4_1" -1.62545136328076 0.352 1000 "vd05vg05"
"398" "4_2" -0.975013873105183 0.426 1000 "vd05vg05"
"399" "4_m1" -1.14204256023343 0.426 1000 "vd05vg05"
"400" "4_m2" -1.11683041023434 0.418 1000 "vd05vg05"
"401" "4_m3" -1.05578167022395 0.402 1000 "vd05vg05"
"402" "5_0" -1.71233912123037 0.41 1000 "vd05vg05"
"403" "5_1" -1.43658617767974 0.434 1000 "vd05vg05"
"404" "5_2" -1.39097321961918 0.402 1000 "vd05vg05"
"405" "5_m2" -1.75416413625706 0.388 1000 "vd05vg05"
"406" "6_0" -1.63426695205538 0.414 1000 "vd05vg05"
"407" "6_m1" -0.812408651055115 0.43 1000 "vd05vg05"
"408" "m1_0" -1.44932419320283 0.434 1000 "vd05vg05"
"409" "m1_1" -1.7139717343644 0.41 1000 "vd05vg05"
"410" "m1_2" -1.04866587317464 0.392 1000 "vd05vg05"
"411" "m1_3" -0.168819418808503 0.394 1000 "vd05vg05"
"412" "m1_4" -1.3797621720075 0.43 1000 "vd05vg05"
"413" "m1_5" -0.960003516782773 0.366 1000 "vd05vg05"
"414" "m1_m1" -1.42312362685687 0.434 1000 "vd05vg05"
"415" "m1_m2" -0.959526592567997 0.394 1000 "vd05vg05"
"416" "m1_m3" -1.63584417976556 0.414 1000 "vd05vg05"
"417" "m1_m5" -1.10929676021426 0.438 1000 "vd05vg05"
"418" "m1_m6" -0.983994120917004 0.41 1000 "vd05vg05"
"419" "m2_0" -1.37374082401937 0.414 1000 "vd05vg05"
